christmas,0.004
tree,0.002
farm,0.002
pictures,0.024
,75.726
vastar,0.016
resources,0.064
inc,0.096
gary,0.16
production,0.136
high,0.042
island,0.024
larger,0.006
block,0.006
1,0.674
2,0.504
commenced,0.002
saturday,0.006
00,0.354
p,0.176
6,0.09
500,0.078
gross,0.006
carlos,0.058
expects,0.004
9,0.084
10,0.412
000,0.628
tomorrow,0.038
owns,0.006
68,0.002
george,0.172
x,0.132
3,0.45
6992,0.016
forwarded,0.522
weissman,0.048
hou,2.268
ect,4.34
12,0.566
13,0.094
99,0.61
16,0.128
daren,0.468
j,0.28
farmer,0.218
38,0.024
rodriguez,0.024
cc,0.708
melissa,0.064
graves,0.052
please,0.852
call,0.202
linda,0.032
get,0.3
everything,0.024
set,0.178
going,0.054
estimate,0.042
4,0.224
coming,0.026
increase,0.06
following,0.176
day,0.258
based,0.054
conversations,0.002
bill,0.024
fischer,0.002
bmar,0.002
34,0.044
enron,1.31
north,0.08
america,0.082
corp,0.508
bryan,0.036
darren,0.024
attached,0.222
appears,0.016
nomination,0.134
previously,0.01
erroneously,0.002
referred,0.004
well,0.162
commence,0.012
sometime,0.012
told,0.024
harris,0.004
telephone,0.004
number,0.096
gas,0.64
control,0.048
provide,0.06
notification,0.008
turn,0.012
numbers,0.062
record,0.018
281,0.032
584,0.002
3359,0.002
voice,0.032
713,0.146
312,0.004
1689,0.002
fax,0.03
would,0.308
see,0.264
someone,0.088
contacts,0.016
advises,0.002
submit,0.002
future,0.022
nominations,0.036
via,0.046
e,0.458
mail,0.17
thanks,0.534
09,0.192
44,0.016
43,0.016
hi,0.02
effective,0.088
11,0.328
mscf,0.002
min,0.014
ftp,0.002
time,0.21
925,0.002
24,0.154
hours,0.058
908,0.002
8,0.132
878,0.002
840,0.002
793,0.002
14,0.138
738,0.002
674,0.002
18,0.158
602,0.002
20,0.154
521,0.002
22,0.128
431,0.002
332,0.002
26,0.062
224,0.002
28,0.138
108,0.004
30,0.122
982,0.002
32,0.038
847,0.004
703,0.002
36,0.032
549,0.002
calpine,0.028
daily,0.09
doc,0.014
issue,0.11
fyi,0.092
note,0.08
already,0.034
done,0.074
stella,0.156
l,0.276
morris,0.092
sherlyn,0.052
schumack,0.046
06,0.084
howard,0.154
b,0.198
camp,0.12
taken,0.03
care,0.016
yesterday,0.032
stacey,0.06
neuweiler,0.038
work,0.13
resolve,0.024
hc,0.024
08,0.166
01,0.554
pm,0.724
create,0.036
accounting,0.096
arrangement,0.042
purchase,0.114
unocal,0.002
energy,0.19
meter,0.854
986782,0.014
deal,0.656
tracked,0.002
5,0.12
volume,0.3
114427,0.002
expired,0.016
7268,0.006
nov,0.03
allocation,0.068
lauri,0.072
allen,0.092
17,0.116
kimberly,0.074
vaughn,0.07
02,0.582
54,0.02
mary,0.118
smith,0.094
put,0.07
strangas,0.002
contract,0.322
52,0.028
anita,0.108
luong,0.076
kim,0.044
7247,0.002
mm,0.024
shows,0.062
allocated,0.06
reliant,0.022
201,0.012
november,0.034
point,0.108
therefore,0.038
make,0.142
sure,0.106
volumes,0.264
moved,0.03
prior,0.038
close,0.024
mcmullen,0.008
jackie,0.136
since,0.098
inlet,0.004
river,0.018
plant,0.114
shut,0.034
19,0.074
last,0.124
flow,0.15
diverted,0.002
hpl,0.41
buying,0.018
residue,0.002
teco,0.01
vintage,0.016
tejones,0.004
swift,0.022
still,0.058
active,0.022
deals,0.206
3405,0.012
path,0.064
manager,0.058
also,0.196
scheduled,0.066
